year,ENE01,ENE02,ENE03,ENE04,ENE05,ENE06,ENE07,ENE08,ENE09,ENE10,ENE11,ENE12,ENE13,ENE14,ENE15,ENE16,ENE17,ENE18,ENE19,ENE20,ENE21,ENE22,ENE23,ENE24,ENE25,ENE26,ENE27,ENE28,TRA01,TRA02,TRA03,TRA04,TRA05,TRA06,TRA07,TRA08,TRA09,TRA10,PRO01,PRO02,PRO03,PRO04,PRO05,PRO06,PRO07,PRO08,AGRI01,AGRI02,AGRI03,AGRI04,AGRI05,AGRI06,AGRI07,AGRI08,USC01,USC02,USC03,USC04,USC05,USC06,USC07,USC08,USC09,USC10,USC11,USC12,USC13,USC14,USC15,RES01,RES02,RES03,RES04,RES05,RES06,RES07,RES08
2020,1.475406746,1.653001125,2.027023048,0.856488529,2.173631541,3.12,4.650502419,0.416127243,0.02,0,0,0.003926537,1.041931614,0,0,0,0,0.046560631,0.007768436,0.013400552,0.091891457,0.07,0.057697819,0.031908642,0.09290053,0.038709991,0.045554122,0.243883012,0,0.326038421,0.457025663,0.465271935,0.274244343,0.13469973,0.397358642,0.34130182,1.333496769,0.110170909,2.238169095,1.452571742,2.238169093,0.786938015,0.921641662,0.37618027,0.287702353,0.164720571,1.341727212,1.419686898,0.120887732,0.263954526,0,0.13900179,0.071993136,0.117607738,8.87,10.9,7.39,8.9,4.45,2.99,2.24,1.188048595,0.5,0.33,2.51,2.2,0.156816,2.180136336,1.495832415,0.381077522,2.212788812,0.621808608,0.079894037,0.009571788,0.041911268,0.041342499,0.003731423
2021,1.706877007,2.075598401,2.390301776,0.848108362,2.257214075,4.34,4.977684325,0.323813608,0.02,0,0,0.018418599,1.097490961,0,0,0,0,0.054142084,0.010323849,0.01780864,0.091891457,0.07,0.05750806,0.0318037,0.092594995,0.045013127,0.048070322,0.30464838,0,0.390273685,0.556590322,0.575687049,0.31117962,0.139962935,0.509178551,0.284305279,1.393644373,0.12950172,2.310098358,1.499253835,2.310098359,0.812228273,0.951260965,0.388269782,0.303296941,0.173649067,1.617397186,1.711374392,0.145065278,0.318599042,0,0.180550565,0.082747937,0.139071476,10.12,12.7,8.43,10.16,5.08,3.39,2.54,1.386056694,0.57,0.38,2.51,2.19,0.104544,2.280902542,1.579818297,0.43840153,2.41738788,0.680614412,0.09152722,0.010447715,0.047140442,0.041342499,0.005261973
2022,1.984524057,2.377337689,2.713740661,0.890311235,2.61488431,4.96,5.052450937,0.514848435,0.02,0,0,0.022208921,1.115487159,1,0,0,0,0.059834742,0.012478954,0.021526195,0.091891457,0.07,0.055610299,0.03075418,0.089539368,0.04974594,0.0491297,0.371449485,0,0.457720712,0.664505566,0.690159642,0.346589309,0.139962935,0.621368384,0.39988556,1.45478821,0.152240109,2.384412117,1.547483464,2.384412117,0.838356916,0.981862163,0.400760067,0.319861215,0.183132746,1.895560346,2.005699938,0.177302007,0.373878236,0,0.221330757,0.092528016,0.15989893,11.36,14.5,9.47,11.42,5.71,3.78,2.84,0.712829157,0.64,0.43,2.51,2.19,0.052272,2.386243534,1.668389808,0.493804112,2.580405595,0.737628962,0.102772181,0.011302707,0.051357158,0.046977277,0.005261973
2023,2.577241669,2.813130025,3.372285516,0.967953624,2.826869944,6.24,5.816459876,0.355291955,0.02,0,0,0.042226562,1.188910437,1,0,0,0,0.067639846,0.015674181,0.027037961,0.091891457,0.13,0.05587942,0.030903013,0.089972686,0.056235017,0.052099361,0.440854344,0,0.528540091,0.781357541,0.814880437,0.380228514,0.139962935,0.751132686,0.411882127,1.517100889,0.176780433,2.647092326,1.717962919,2.647092325,0.930715014,1.090029604,0.444910043,0.336586119,0.192708391,2.176239243,2.302687394,0.209538735,0.429799481,0,0.261356585,0.10141518,0.18012458,12.59,16.29,10.49,12.67,6.34,4.17,3.13,0.910837256,0.71,0.48,2.51,2.19,0.052272,2.496367007,1.761797324,0.547400591,2.752542518,0.792963855,0.113652241,0.012137898,0.051357158,0.046977277,0.006021575
2024,2.428335294,2.954236627,3.42947793,0.831975802,2.571502884,6.24,5.438806009,0.375509674,0.02,0,0,0.167247983,1.237637836,1,0,0,0,0.074323127,0.018600729,0.032086257,0.091891457,0.18,0.055260621,0.030560798,0.088976345,0.061791422,0.054301981,0.51280277,0,0.602900438,0.907770132,0.950588072,0.411831662,0.139962935,0.869258037,0.424238591,1.580750006,0.199080502,2.72596758,1.769152958,2.725967578,0.958447475,1.122509152,0.458167001,0.353948041,0.202648754,2.459456627,2.602360835,0.250529403,0.486370234,0.000522053,0.300642002,0.109483065,0.199779891,12.54,18.07,10.45,12.65,6.32,4.11,3.08,1.108845355,0.78,0.52,2.5,2.19,0.104544,2.611490086,1.86030489,0.599300243,2.919708669,0.846724745,0.1241895,0.01295437,0.051357158,0.046977277,0.006021575
2025,2.860443911,3.297716842,3.89201573,1.336917835,3.08675578,7.06,6.217004221,1.163166337,0.02,0,2.160732599,1.84158744,1.287387479,1,0,0,0,0.076715316,0.023039302,0.039742796,0.091891457,0.18,0.001814885,0.004969329,0.091840167,0.063780261,0.059004681,0.587671738,0,0.914398998,1.312942342,1.344806766,0.562153599,0.139962935,0.987406295,0.436965748,1.645900952,0.328739498,2.806985146,1.821733359,2.806985145,0.98693317,1.155870869,0.471784028,0.371937468,0.212948386,2.741045184,2.901305567,0.291520071,0.543385892,0.001044105,0.334930261,0.116798114,0.218893655,12.49,18.02,10.41,12.62,6.31,4.05,3.03,1.306853454,0.86,0.57,2.5,2.19,0.156816,2.731839752,1.964190969,0.649606632,3.08221648,0.898996391,0.134404901,0.013753164,0.055918777,0.046977277,0.006218874
2026,2.73557055,3.420244941,4.005050255,1.192287418,2.840023548,7.22,7.035641086,0.466115458,0.02,0,0.144742943,2.28475906,1.338552048,1,0,0,0,0.076455563,0.026788174,0.046209601,0.091891457,0.18,0.00180874,0.009905007,0.091529202,0.063564306,0.06184137,0.664871544,0,0.960118948,1.406444358,1.470911756,0.528546647,0.139962935,1.118099523,0.450074721,1.712670305,0.374115565,2.890310001,1.875811191,2.890310001,1.016230106,1.190182691,0.485788853,0.390247582,0.223431625,2.741045184,2.901305567,0.332510739,0.543385892,0.001566158,0.338700627,0.237378205,0.266665566,12.43,17.97,10.36,12.6,6.3,3.98,2.99,1.504861553,0.93,0.62,2.5,2.19,0.209088,2.857653293,2.073749228,0.698322819,3.240015706,0.949731562,0.144294422,0.014525003,0.055918777,0.046977277,0.006922246
2027,3.263521026,3.952862252,4.605520262,1.321341979,3.847929541,8.48,8.108909167,0.836363793,0.02,0,0.560363656,2.245523299,1.390924346,1,0,0,0,0.076544961,0.030650854,0.052872723,0.091891457,0.18,0.001810855,0.014874883,0.091636226,0.06363863,0.065051256,0.744523207,0,1.008124896,1.506490036,1.583469385,0.494039627,0.139962935,1.236525224,0.463576963,1.781184552,0.445864904,2.97603584,1.93144726,2.97603584,1.046371225,1.225483198,0.500197224,0.409229531,0.234299515,2.741045184,2.901305567,0.381560588,0.543385892,0.00208821,0.342467116,0.252296045,0.287078071,12.38,17.92,10.32,12.57,6.29,3.92,2.94,1.702869652,1,0.67,2.5,2.19,0.26136,2.989178769,2.189289367,0.745476551,3.393149391,0.998973954,0.153868179,0.015278701,0.055918777,0.046977277,0.006922246
2028,3.33196596,3.925945039,4.523530847,1.220768139,3.69218874,8.13,7.24845289,0.405001714,0.02,0,0.294283013,2.760314249,1.444615501,1,0,0,0,0.077789702,0.035042946,0.060449081,0.091891457,0.18,0.001840303,0.020155696,0.093126374,0.064673494,0.06940232,0.826699867,0,1.05853114,1.613499988,1.704230008,0.458626549,0.139962935,1.354981943,0.477484271,1.851628621,0.538272373,3.063895981,1.988468491,3.06389598,1.077262763,1.261662576,0.514964317,0.429017504,0.245628884,2.741045184,2.901305567,0.430610438,0.543385892,0.002610263,0.346229988,0.266490774,0.306973018,12.33,17.88,10.27,12.55,6.27,3.86,2.9,1.900877751,1.07,0.71,2.5,2.19,0.209088,3.126675501,2.311137999,0.791160369,3.541899848,1.046814034,0.163144888,0.01601521,0.055918777,0.046977277,0.006922246
2029,3.635736623,4.327541559,5.074371318,1.268751253,3.752549627,9.45,8.073381385,0.971578446,0.02,0,0.212666708,2.882451471,1.499736639,1,0,0,0,0.076430973,0.038256512,0.065992484,0.091891457,0.18,0.001808159,0.024754553,0.091499764,0.063543862,0.071534123,0.912395992,0,1.111457698,1.727920527,1.833732529,0.422303076,0.139962935,1.486700003,0.4918088,1.92419183,0.573274426,3.153584932,2.04667662,3.15358493,1.108797308,1.298595029,0.530038787,0.449565775,0.257393553,2.741045184,2.901305567,0.479660288,0.543385892,0.003417072,0.34998948,0.280011411,0.32637287,12.27,17.83,10.23,12.52,6.26,3.8,2.85,2.09888585,1.14,0.76,2.5,2.19,0.156816,3.270414585,2.439639566,0.835461959,3.686534677,1.093337555,0.172142284,0.016735446,0.055918777,0.046977277,0.006922246
